,Region,2006,2009,2012,2015
1,NCR,4.7,3.6,3.9,3.9
2,CAR,26.0,25.1,22.8,19.7
3,Region I,25.9,22.0,18.5,13.1
4,Region II,26.8,25.5,22.1,15.8
5,Region III,13.1,13.7,12.9,11.2
6,Region IV-A,10.3,11.9,10.9,9.1
7,Region IV-B,40.6,34.5,31.0,24.4
8,Region V,44.2,44.2,41.1,36.0
9,Region VI,29.1,30.8,29.1,22.4
10,Region VII,35.9,31.0,30.2,27.6
11,Region VIII,41.5,42.6,45.2,38.7
12,Region IX,45.0,45.8,40.1,33.9
13,Region X,39.0,40.1,39.5,36.6
14,Region XI,30.6,31.4,30.7,22.0
15,Region XII,37.9,38.3,44.7,37.3
16,Caraga,49.2,54.4,40.3,39.1
17,ARMM,47.1,47.4,55.8,53.7
