,Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,NCR,55.65,55.37,56.08,40.22,79.57,77.83,77.46,76.47,72.39,75.49
2,CAR,39.49,38.38,37.04,58.15,63.7,67.22,68.29,68.62,68.15,71.32
3,Region I,52.83,52.81,51.61,57.16,76.4,75.57,76.14,77.4,75.85,79.44
4,Region II,46.25,45.53,44.59,50.76,69.61,68.94,68.46,68.66,66.9,70.21
5,Region III,49.91,50.03,50.65,50.34,74.4,73.53,73.11,74.34,72.83,75.47
6,Region IV-A,51.69,51.73,52.1,48.59,70.28,71.21,71.03,70.43,68.6,72.6
7,Region IV-B,47.39,47.48,48.02,49.75,59.95,61.15,62.21,62.78,62.55,68.94
8,Region V,45.87,46.01,45.49,49.49,57.77,60.61,60.87,63.63,63.14,69.51
9,Region VI,45.21,44.63,44.52,47.52,61.36,61.53,61.2,62.11,60.94,68.66
10,Region VII,39.75,39.32,40.27,42.68,61.46,60.34,62.44,65.67,64.55,71.49
11,Region VIII,42.6,43.19,44.69,50.52,56.55,57.91,58.65,61.02,59.22,65.21
12,Region IX,40.92,40.35,40.94,42.01,62.07,50.14,50.02,50.25,49.62,56.57
13,Region X,37.27,36.72,36.26,37.03,55.24,54.73,55.76,54.36,54.46,59.53
14,Region XI,38.34,38.37,38.18,40.04,55.87,55.61,55.85,57.58,56.97,63.83
15,Region XII,39.65,39.86,40.03,39.76,54.15,53.07,53.18,53.85,53.72,59.0
16,Caraga,40.64,40.66,41.98,46.75,58.18,56.4,57.75,59.42,59.88,66.62
17,ARMM,28.66,28.82,31.26,78.34,44.54,43.84,39.25,37.22,29.62,32.43
